name	id	gender	language	variations	meaning
Vance	/m/05d9dtd	Male	Middle English		
Dillian	/m/05d3t4k	Female	Latin Language		
Dysis	/m/05d3vzn	Female	Greek Language		
Bettie	/m/05d3zkb	Female		/m/05d3zk7,/m/05d3_fl,/m/05d3_cw,/m/05d3_dh,/m/05d3_ff,/m/05d3_3_,/m/05d3_by,/m/05d3zw3,/m/05d3_b9,/m/05d3_bm,/m/05d3_c2,/m/05d3_7l,/m/05d3_cq,/m/05d3_cd,/m/05d3_d5,/m/05d3_ck,/m/05d3_dz,/m/05d3_d0,/m/05d3_bs,/m/05d3_db,/m/05d3_f3,/m/05d3_c7,/m/05d3_dn,/m/05d3_fx,/m/05d3_fr,/m/05d3_b4,/m/05d3_f8,/m/05d3_dt,/m/05d3zhc,/m/05d402c	
Tujan	/m/05d9cm_	Male	Old French	/m/05d9cnb,/m/05d9cn3	
Elu	/m/05d41k8	Male			
Thibaut	/m/05d9535	Male	Old High German	/m/05d958k,/m/05d95_3,/m/05d9532,/m/05d9558,/m/05d9592,/m/05d9545,/m/05d95zr	
Essie	/m/05d423g	Female		/m/05d42yd,/m/05d42xb,/m/05d43th,/m/05d433b,/m/05d432n,/m/05d42wk,/m/05d434h,/m/05d433v,/m/05d432v,/m/05d42zr	
Than	/m/05d940j	Male,Female	Vietnamese Language,Greek Language		
Faythe	/m/05d45zs	Female	Latin Language	/m/05d45_j,/m/05d45_8,/m/05d45zx	
Fitzpatrick	/m/05d47g8	Male	Latin Language	/m/05d47zf,/m/05d47z8,/m/05d47_h,/m/05d47z3	
Tenenan	/m/05d93t3	Male	Old French	/m/05d93sm,/m/05d93sw	
Fremont	/m/05d4b24	Male	Old High German		
Tanicus	/m/05d92kl	Male	Latin Language		
Garvey	/m/05d4btc	Male	Latin Language,Old English language	/m/05d4bwm,/m/05d4bvv,/m/05d4cpd,/m/05d4bwg,/m/05d4bvm,/m/05d4bw9,/m/05d4bsx,/m/05d4bw1,/m/05d4bxt	
Genevia	/m/05d4ccx	Female	Old French	/m/05d4d7y,/m/05d4d85	
Sutcliff	/m/05d90v3	Male		/m/05d91qb,/m/05d91q5,/m/05d91q0,/m/05d90yq	
Gerhart	/m/05d4jly	Male		/m/05d4lns,/m/05d4ld6,/m/05d4lky,/m/05d4k38,/m/05d4m0c,/m/05d4ll2,/m/05d4kxb,/m/05d4jlv,/m/05d4ll7,/m/05d4l9v,/m/05d4lvs,/m/05d4j6v,/m/05d4jd8,/m/05d4m52,/m/05d4lks,/m/05d4m1r,/m/05d4m3b,/m/05d4lkm,/m/05d4kgd,/m/05d4l4t,/m/05d4lkc,/m/05d4khy,/m/05d4kld,/m/05d4lxp,/m/05d4j4g,/m/05d4lkg,/m/05d4lzr	
Jarman	/m/05d4lh4	Male	Middle English,Old English language,French Language	/m/05d4ljl,/m/05d4lgx,/m/05d4lgn,/m/05d4lht,/m/05d4lgs,/m/05d4n5g,/m/05d4lh0	
Hayleigh	/m/05d4py1	Female	Old English language	/m/05d4py9,/m/05d4pxy	
Suruchi	/m/05d8zm0	Female	Hindi Language		
Honora	/m/05d4qjc	Female	Latin Language	/m/05d4qj8	
Subhuja	/m/05d8z29	Female	Hindi Language		
Irving	/m/05d4r3s	Male			
Irmgard	/m/05d4r55	Female			
Kalkin	/m/05d4y3z	Male	Hindi Language		
Solange	/m/05d8wpl	Female	French Language		
Kalb	/m/05d4zdc	Male	Arabic Language		
Kipper	/m/05d54rk	Male	Old English language	/m/05d54s5,/m/05d54r5,/m/05d54r9,/m/05d54rf	
Maksymilian	/m/064kll3				
Sorilbran	/m/05d8w49	Female			
Ladislaw	/m/05d5601	Male	Czech Language	/m/05d560s,/m/05d5605,/m/05d560k	
Krunal	/m/05d564k	Male	Hindi Language		
Sinjon	/m/05d8txh	Male	French Language		
Shunnar	/m/05d8s9j	Male	Arabic Language		
Lang	/m/05d572v	Male	Old English language,Old Norse	/m/05d571q,/m/05d572k,/m/05d579z,/m/05d57b9,/m/05d5728,/m/05d571_	
Laoghaire	/m/05d57c7	Male	Irish		
Shin	/m/05d8rz5	Female	Korean Language		
Shantah	/m/05d8psc	Female	Hindi Language	/m/05d8prw,/m/05d8ps3	
Latonia	/m/05d57pk	Female	Latin Language		
Verna	/m/05d58c_	Female,Male	Latin Language,Old French,French Language	/m/05d9gf1,/m/05d9g4z,/m/05d9hbn,/m/05d58cw,/m/05d59r2,/m/05d9g4k,/m/05d9f_l,/m/05d9g0s,/m/05d59qv,/m/05d9g6h,/m/05d59s3,/m/05d9g4g,/m/05d9g4q,/m/05d9gf6	
Lennart	/m/05d5dw4	Male	Old High German	/m/05d5dw1,/m/05d5fqq,/m/05d5fqk,/m/05d5frb,/m/05d5frh,/m/05d5fqd,/m/05d5g9h,/m/05d5fst,/m/05d5fq2,/m/05d5fqw,/m/05d5fq7,/m/05d5fr5,/m/05d5fr0	
Maybelline	/m/05d5mt2	Female	French Language,Latin Language	/m/05d5mtg,/m/05d5nny,/m/05d5nyc,/m/05d5mvd,/m/05d5mt5,/m/05d5mtw	
Senan	/m/05d8p5n	Male	Breton	/m/05d8p60,/m/05d8p5s	
