name	id	gender	language	variations	meaning
Saphira	/m/05d8mk9	Female	Greek Language	/m/05d8mk5,/m/05d8mkq	
Crisp	/m/05d3jhm	Male	Latin Language	/m/05d3k7c,/m/05d3k89,/m/05d3k71,/m/05d3k76,/m/05d3k7j	
Sahib	/m/05d8jzm	Male	Hindi Language		
Ro	/m/05d8c3w	Male	Spanish Language	/m/05d8bmw	
Rosly	/m/05d8bpc	Female	Greek Language,Latin Language	/m/05d8gpt,/m/05d8gzj,/m/05d8f7j,/m/05d8bp8,/m/05d8g22,/m/05d8gy9,/m/05d8f72,/m/05d8f11,/m/05d8fv4,/m/05d8fkt,/m/05d8cnc,/m/05d8gh3,/m/05d8g18,/m/05d8dm6,/m/05d8dcg,/m/05d8fb3,/m/05d8fwn,/m/05d8czl,/m/05d8csn,/m/05d8dtp,/m/05d8cvv,/m/05d8d4d,/m/05d8d60,/m/05d8fw0,/m/05d8ft1,/m/05d8dpp,/m/05d8d_2,/m/05d8g1p,/m/05d8fg4,/m/05d8fr9,/m/05d8fhc,/m/05d8chc,/m/05d8fy4	
Sumner	/m/05d8_cm	Male	Old French	/m/05d8_nr,/m/05d8_cj	
Cindie	/m/05d3kt2	Female	Greek Language	/m/05d3kxd,/m/05d3kx7,/m/05d3kxq,/m/05d3kxk,/m/05d3ks_,/m/05d3kx2	
Danny	/m/05d3lbf	Male	Hebrew Language	/m/05d3lb0,/m/05d3lfl,/m/05d3lf2,/m/05d3m6m,/m/05d3lg2,/m/05d3l9r,/m/05d3lb4,/m/05d3lfr	
Rodmond	/m/05d895j	Male	Old High German	/m/05d89ph,/m/05d89pn,/m/05d89gb,/m/05d89q3,/m/05d89pz,/m/05d89nq,/m/05d89pb,/m/05d89pt,/m/05d89bc,/m/05d895f,/m/05d89p0,/m/05d89nw,/m/05d89p5,/m/05d89cd	
Rocho	/m/05d88p9	Male	Old English language	/m/05d897d,/m/05d89ry,/m/05d8931,/m/05d88_5,/m/05d8975,/m/05d891s,/m/05d88_w,/m/05d897s	
Reva	/m/05d87vh	Female	French Language	/m/05d881f,/m/05d881l,/m/05d87vd,/m/05d882s,/m/05d8823,/m/05d8818	
Danae	/m/05d3lvw	Female	Hebrew Language	/m/05d3lv3,/m/05d3lvm,/m/05d3ldr,/m/05d3lt_,/m/05d3lvr,/m/05d3mns,/m/05d3ltw,/m/05d3lx7,/m/05d3nly,/m/05d3ldw,/m/05d3mlq,/m/05d3lvc,/m/05d3lv7,/m/05d3lvh,/m/05d3mjy,/m/05d3nfh	
Redwald	/m/05d82z5	Male	Old English language	/m/05d84bv,/m/05d849_,/m/05d82z1,/m/05d84db,/m/05d82ys,/m/05d82yw,/m/05d82yz	
Prashanti	/m/05d7yzj	Female	Hindi Language		
Radclyffe	/m/05d7yp4	Male	Old English language	/m/05d7yq0,/m/05d7ynx,/m/05d7z_b,/m/05d7yfx,/m/05d7yp0,/m/05d7ygh,/m/05d7ypj	
Priestly	/m/05d7xc3	Male	Old English language	/m/05d7zdd,/m/05d7xc0,/m/05d7zcw,/m/05d7zd0,/m/05d7zd7	
Pinchas	/m/05d7vr4	Female	Greek Language,Egyptian language	/m/05d7wrd,/m/05d7wyn,/m/05d7wzm,/m/05d7w_b,/m/05d7wz1,/m/05d7wyf	
Pyotr	/m/05d7qmb	Male	Latin Language	/m/05d7v9n,/m/05d7v69,/m/05d7tw9,/m/05d7stc,/m/05d7v6m,/m/05d7t88,/m/05d7ry3,/m/05d7tk7,/m/05d7t3k,/m/05d7t1h,/m/05d7v6g,/m/05d7vcx,/m/05d7tz8,/m/05d7sp6,/m/05d7sx_,/m/05d7v72,/m/05d7v64,/m/05d7v7d,/m/05d7s7p,/m/05d7tym,/m/05d7vgb,/m/05d7v77,/m/05d7v7k,/m/05d7r36,/m/05d7w3z,/m/05d7qm7,/m/05d7v6s,/m/05d7w1w,/m/05d7v6y,/m/05d7t78,/m/05d7rhl,/m/05d7sjr,/m/05d7sqs,/m/05d7v7q,/m/05d7rt9	
Patrizia	/m/05d7nld	Female	Latin Language	/m/05d7mr3,/m/05d7mqb,/m/05d7mqr,/m/05d7mq6,/m/05d7myv,/m/05d7mq2,/m/05d7mzg,/m/05d7mqg,/m/05d7mz2,/m/05d7mzb,/m/05d7myq,/m/05d7mqw	
Pattie	/m/05d7mx4	Female	Latin Language	/m/05d7m_4,/m/05d7mx1,/m/05d7n54,/m/05d7n64,/m/05d7n30,/m/05d7ndh,/m/05d7myv,/m/05d7n3b,/m/05d7n3v,/m/05d7mb7,/m/05d7n77,/m/05d7n4c	
Darlin	/m/05d3m7n	Female	Old English language	/m/05d3mg5,/m/05d3mgb,/m/05d3mjd,/m/05d3mh5,/m/05d3mfz,/m/05d3mfr	
Oswaldo	/m/05d7lrk	Male	Old English language	/m/05d7l_j,/m/05d7l_6,/m/05d7l_c,/m/05d7l_1,/m/05d7lrg	
Oralee	/m/05d7j5b	Female	Hebrew Language,Latin Language	/m/05d7krm,/m/05d7j64,/m/05d7h_3,/m/05d7j5w,/m/05d7j52,/m/05d7jw4,/m/05d7j4z,/m/05d7kpn,/m/05d7k19,/m/05d7j_n,/m/05d7jjx,/m/05d7jfw,/m/05d7j56,/m/05d7h_z,/m/05d7k7t	
Norwell	/m/05d7g1f	Male	Old English language	/m/05d7fjd,/m/05d7g1k,/m/05d7gwh,/m/05d7gxb,/m/05d7gx1,/m/05d7gvy,/m/05d7gws,/m/05d7gmz,/m/05d7gw6,/m/05d7gn7	
Nilima	/m/05d7d_g	Female	Hindi Language		
Nial	/m/05d74vm	Male	Gaelic	/m/05d74_1,/m/05d753h,/m/05d74l6,/m/05d74yx,/m/05d753c,/m/05d76d_,/m/05d751p,/m/05d74vj,/m/05d7506,/m/05d74l3,/m/05d74sz,/m/05d74x0,/m/05d74lb	
Keash	/m/05d7335	Female		/m/05d7332,/m/05d7343,/m/05d732x,/m/05d732_	
Morgance	/m/05d6yz1	Female			
Darleen	/m/05d3mfm	Female	Old English language	/m/05d3mh0,/m/05d3mf9,/m/05d3mfd,/m/05d3mfh,/m/05d3mgb,/m/05d3mj4	
Mischa	/m/05d6t7j	Male	Hebrew Language	/m/05d6t7f,/m/05d6sn_,/m/05d6v03,/m/05d6t_z,/m/05d6tsd,/m/05d6tr9,/m/05d6trm,/m/05d6ts2,/m/05d6tqv,/m/05d6tqj,/m/05d6trs,/m/05d6tqc,/m/05d6tqp,/m/05d6tq7,/m/05d6thv,/m/05d6sp9,/m/05d6t7q,/m/05d6t_t,/m/05d6try,/m/05d6ts7,/m/05d6tsk,/m/05d6trg,/m/05d6tlq,/m/05d6tsq,/m/05d6tr4,/m/05d6sp2,/m/05d6tq_,/m/05d6sp5	
Malinda	/m/05d6pw7	Female	Greek Language	/m/05d6r75,/m/05d6qdh,/m/05d6qf6,/m/05d6qfs,/m/05d6qdr,/m/05d6qh2,/m/05d6qfc,/m/05d6qdx,/m/05d6pw4,/m/05d6qdl,/m/05d6qf1	
Mora	/m/05d6lpp	Female	Spanish Language,Latin Language,Gaelic,Old French	/m/05d6m6t,/m/05d6lpl,/m/05d6mb4,/m/05d6lz0,/m/05d6m55,/m/05d6mwj,/m/05d6zxn,/m/05d6lwz,/m/05d6mc0,/m/05d6mbl,/m/05d6m4b,/m/05d6lrt,/m/05d6lx_,/m/05d6zxy	
Morven	/m/05d6_58	Male	Old English language		
Moire	/m/05d67q6	Female	Hebrew Language	/m/05d6d83,/m/05d6gpv,/m/05d69t9,/m/05d6872,/m/05d68nd,/m/05d6ffb,/m/05d68xs,/m/05d6bt7,/m/05d6f6m,/m/05d6bg4,/m/05d6f6s,/m/05d68st,/m/05d6f64,/m/05d6bs0,/m/05d6fyv,/m/05d6d_z,/m/05d6cpn,/m/05d6cwh,/m/05d6ftn,/m/05d6f6y,/m/05d6bx1,/m/05d6f72,/m/05d67q3,/m/05d6fz8,/m/05d69hx,/m/05d6gpp,/m/05d6fnj,/m/05d6f69,/m/05d6fll,/m/05d6dc8,/m/05d67s2,/m/05d6d02,/m/05d6dk3,/m/05d6g8f,/m/05d6g83,/m/05d6dy7,/m/05d6dgg,/m/05d69xn,/m/05d6ccm,/m/05d6gp6,/m/05d6ft7,/m/05d6ctn,/m/05d6fth,/m/05d6g88,/m/05d6ftb,/m/05d6gpc,/m/05d6fyz,/m/05d6f60,/m/05d6gpj,/m/05d6fzl,/m/05d6fz3,/m/05d6fzf,/m/05d6f6g,/m/05d6d6v,/m/05d6gf_	
Ri	/m/05d62cj	Female	Hebrew Language	/m/05d62pm,/m/05d643w,/m/05d62p4,/m/05d62kl,/m/05d62q4,/m/05d62lf,/m/05d62cf	
Danya	/m/05d3ngv	Female	Hebrew Language	/m/05d3nmk,/m/05d3nm7,/m/05d3nly,/m/05d3mr3,/m/05d3nlm,/m/05d3mr7,/m/05d3nm2,/m/05d3ngr,/m/05d3mrs,/m/05d3mrh,/m/05d3mrc,/m/05d3nmd,/m/05d3md7,/m/05d3nls,/m/05d3mrx,/m/05d3mdc	
Margalo	/m/05d5x98	Female	Persian Language,Latin Language	/m/05d5_xz,/m/05d5z_8,/m/05d5_sr,/m/05d5xgw,/m/05d5zc8,/m/05d5z1t,/m/05d5yrl,/m/05d5z_l,/m/05d5_y8,/m/05d5_z1,/m/05d5zlg,/m/05d5_8z,/m/05d5_yx,/m/05d5_mc,/m/05d5_yf,/m/05d5_yl,/m/05d5_rt,/m/05d5_xn,/m/05d5zqh,/m/05d5_37,/m/05d5_gv,/m/05d5z_3,/m/05d5xss,/m/05d5z_f,/m/05d5_rz,/m/05d5_sf,/m/05d5_f2,/m/05d5_xt,/m/05d5y94,/m/05d5_s8,/m/05d5wp2,/m/05d5x95,/m/05d5zzz,/m/05d5z7t,/m/05d5_y3,/m/05d5xd3,/m/05d5xvn,/m/05d5_yr,/m/05d5_mv,/m/05d5_s3,/m/05d5_sl,/m/05d5z_r,/m/05d5_gp,/m/05d5_93,/m/05d5_gl,/m/05d5z_x,/m/05d605t,/m/05d5zds,/m/05d5_84	
Davine	/m/05d3p42	Female	Hebrew Language	/m/05d3p3z,/m/05d3p4h	
Dita	/m/05d3skg	Female	Czech Language		
Dunston	/m/05d3th6	Male,Female	Old English language,Old High German	/m/05d3vjh,/m/05d3th2,/m/05d3vk2	
Doyt	/m/05d3tq0	Male	Old English language	/m/05d3trj,/m/05d3t_n,/m/05d3t_t,/m/05d3tr5,/m/05d3tpg,/m/05d3tpr	
Marcella	/m/05d5vrx	Female	Latin Language,French Language	/m/05d5wgs,/m/05d5wgc,/m/05d5vtq,/m/05d5w18,/m/05d5vt1,/m/05d5vrt,/m/05d5whb	
Manning	/m/05d5vj_	Male	Old English language	/m/05d5vp2,/m/05d5vm9,/m/05d5vn7,/m/05d5vnk,/m/05d5vnd,/m/05d5vps,/m/05d5vqs,/m/05d5vm0,/m/05d5vjx	
Edward	/m/05d3wl2	Male	Old English language	/m/05d3wty,/m/05d3xl_,/m/05d3wk_,/m/05d3x1z,/m/05d3xk6,/m/05d3xlp,/m/05d3y8g,/m/05d3xlv,/m/05d3wqk,/m/05d3xlj,/m/05d3wsb,/m/05d3wzc,/m/05d3w_b,/m/05d3y7m	
Magnilda	/m/05d5tpf	Female	Latin Language	/m/05d5tp5	
Mackenzy	/m/05d5n_t	Male	Gaelic	/m/05d5p0b,/m/05d5p0h,/m/05d5p0_,/m/05d5n_y	
Luelle	/m/05d5lzm	Female	Old English language	/m/05d5lz1,/m/05d5lzb,/m/05d5mhj	
Livanya	/m/05d5k75	Female	Greek Language	/m/05d5k6f,/m/05d5k6p,/m/05d5k6y	
Linwood	/m/05d5hxf	Male	Old English language		
Laurette	/m/05d57_d	Female	Latin Language	/m/05d58g4,/m/05d57yj,/m/05d57_9,/m/05d57yv,/m/05d58zn,/m/05d57z2,/m/05d57ym,/m/05d57yz,/m/05d58zh,/m/05d57yf,/m/05d57z6,/m/05d58rn,/m/05d57y1,/m/05d58b0,/m/05d57yr,/m/05d597r,/m/05d58_3,/m/05d5964,/m/05d58zz,/m/05d59dj,/m/05d58zt,/m/05d59ml,/m/05d57y5,/m/05d57zb,/m/05d583s,/m/05d57y9	
Eban	/m/05d3x7_	Male	Hebrew Language	/m/05d3xry,/m/05d3xs6	
Kiranpal	/m/05d54z5	Female	Hindi Language	/m/05d54yy	
Kirkley	/m/05d54w7	Male	Old Norse	/m/05d54xj,/m/05d54wj,/m/05d54w3,/m/05d54vw,/m/05d54v_	
Kin	/m/05d53tl	Male	Japanese Language		
Kenan	/m/05d53kr	Male	Hebrew Language		
Eldred	/m/05d3z29	Male	Old English language	/m/05d3z21,/m/05d3z2q,/m/05d3z25	
Kendal	/m/05d51tw	Male,Female		/m/05d51t_,/m/05d524r,/m/05d527p,/m/05d528_,/m/05d520l,/m/05d526j,/m/05d532c,/m/05d53rs,/m/05d53sg,/m/05d532x,/m/05d522y,/m/05d533k	
Eliska	/m/05d40qs	Female	Czech Language		
Kama	/m/05d4yww	Female	Sanskrit Language		
Joesa	/m/05d4xyl	Female		/m/05d4xyp	
Kailil	/m/05d4xsp	Male	Arabic Language	/m/05d4xsf,/m/05d4xsk,/m/05d4xt1	
Fionnula	/m/05d477d	Female		/m/05d477q,/m/05d477h	
Jehan	/m/05d4tbs	Female	Arabic Language		
Huntley	/m/05d4p_0	Male	Old English language		
Gabriel	/m/05d499v	Male	Hebrew Language	/m/05d4bnl,/m/05d4bng,/m/05d4b_0,/m/05d4bzw,/m/05d499r,/m/05d4bnr,/m/05d4bpx,/m/05d4b_5	
Jarrett	/m/05d4jgj	Male	Hebrew Language	/m/05d4l04,/m/05d4l34,/m/05d4vgv,/m/05d4k1x,/m/05d4l0_,/m/05d4kw9,/m/05d4jgf,/m/05d4l6l,/m/05d4l8r,/m/05d4l3n,/m/05d4lkc,/m/05d4lll,/m/05d4kv3,/m/05d4k_t,/m/05d4l1p,/m/05d4jpt,/m/05d4m3_,/m/05d4lyn,/m/05d4jkj,/m/05d4m27,/m/05d4lsv,/m/05d4lwl,/m/05d4kpl,/m/05d4m0q,/m/05d4l0h,/m/05d4j64,/m/05d4ltt,/m/05d4l8c	
Johanna	/m/025sqg5	Female	Hebrew Language	/m/05d4wkz,/m/05d4wnf,/m/05d4wn2,/m/05d4w77,/m/05d4wg0,/m/05d4wql,/m/05d4wmy,/m/05d4xhy,/m/05d4wpr,/m/05d4vz5,/m/05d4v86,/m/05d4wp2	
Nicholas	/m/0268m4	Male	Old English language,Greek Language	/m/05d79fh,/m/05d79pv,/m/05d79g8,/m/05d79p6,/m/05d79p_,/m/05d79f5,/m/05d7bdp,/m/05d77hw,/m/05d7bk0,/m/05d77cw,/m/05d7bjd,/m/05d785q,/m/05d79pj,/m/05d79pc,/m/05d78_5,/m/05d7881,/m/05d7bjq,/m/05d79f0,/m/05d7bjk,/m/05d7970,/m/05d79nz,/m/05d7c70,/m/05d78f3,/m/05d794v,/m/05d79ft,/m/05d3g5w,/m/05d7bjw,/m/05d7bj7,/m/05d79pp,/m/05d79fb,/m/05d79fn,/m/05d79g3,/m/05d77zj,/m/05d79fz,/m/05d7bk5,/m/05d7bj2,/m/05d79t_	
Vardan	/m/06w262c				
Hendrik	/m/07qs3_6	Male			
Christine	/m/02z4575	Female	Greek Language	/m/05d3cyn,/m/05d3dpw,/m/05d3cz0,/m/05d3cyt,/m/05d3cxr,/m/05d3cyb,/m/05d3czq,/m/05d3czb,/m/05d3c_5,/m/05d3czw,/m/05d3czh,/m/05d3cy5,/m/05d3cyh,/m/05d3cz5,/m/05d3c_c,/m/05d3c_0,/m/05d3cxz,/m/05d3c_k	
Rati	/m/02vkqh_	Female	Hindi Language		
Takuya	/m/03hg3cc				
Cândido	/m/02wbxc7				
Masami	/m/02vksyg				
Vilho	/m/02y_b25				
Bjarne	/m/03cgw0s	Male	Swedish Language	/m/05d2w79,/m/05d2w7l,/m/05d2w7w	
Alice	/m/02vxnmj	Female	Greek Language,Old High German	/m/05d28nm,/m/05d27k3,/m/05d28m_,/m/05d2652,/m/05d28ng,/m/05d28mv,/m/05d28mp,/m/05d276y,/m/05d28m1,/m/05d27b5,/m/05d28m6,/m/05d27_b,/m/05d27s5,/m/05d26x5,/m/05d26pm,/m/05d28n9,/m/05d28lx,/m/05d2691,/m/05d26lh,/m/05d279v,/m/05d28gk,/m/05d28mc,/m/05d25fm,/m/05d28mj,/m/05d28d3,/m/05d28n4	
Wendall	/m/03d0t70				
Amir	/m/02rtdv0	Male	Arabic Language	/m/05d2b05	
Emilie	/m/04y5mfv				
Ealhmund	/m/04jpgz1				
Alba	/m/0404c9f	Female			
Serjão	/m/04m_vdp				
Jolie	/m/076z5b4				
Srinivasan	/m/06ztv5j				
Isac	/m/0gykb0v			/m/0gykb0t	
Marie-France	/m/0gg4pl_				
Cathal	/m/04lh6p1				
Flaithbertach	/m/04mxcb0				
Agroecius	/m/04jd43d				
Meryl	/m/03mf2rx	Male,Female	Old English language,German Language,Latin Language	/m/05d6sj0,/m/05d6sht,/m/05d6s8j,/m/05d6s81,/m/05d6shl,/m/05d6sjd,/m/05d6s1_,/m/05d6s8c,/m/05d6s7q,/m/05d6sj7,/m/05d6sjq,/m/05d6s7w,/m/05d6s86,/m/05d6s8p,/m/05d6sjk	
Becki	/m/03nrygn				
Cecile	/m/04g09ww				
Rupert Charles	/m/047t98x				
Carlos Rafael	/m/047v23m				
Charlotte	/m/051wkhs	Female	French Language	/m/05d39dp,/m/05d39x9,/m/05d39wy,/m/05d39x1,/m/05d39wv,/m/05d39x5,/m/05d3b51,/m/05d39xf,/m/05d39yd	
Roozbeh	/m/04mxwwj				
Fawaz	/m/06w27y5				
Servando	/m/07t7pd8	Male			
Marsha	/m/076yz6g	Female	Latin Language	/m/05d5x0r,/m/05d5vjj,/m/05d5wck,/m/05d5wc2,/m/05d5w4m,/m/05d5wc7,/m/05d5wd0,/m/05d5wcw,/m/05d5xff,/m/05d5x03,/m/05d5xmr,/m/05d5w63,/m/05d5wcd,/m/05d5x4y,/m/05d5wf0,/m/05d5wcq	
Mariamne	/m/06ywlq	Female	Greek Language	/m/05d63j8	
Jean-Louis	/m/07sccw4	Male	French Language		
Hilana	/m/07v3thp	Female			
Torkild	/m/06zky85				
Brooke	/m/06zskhc	Female	Old English language	/m/05d30cm,/m/05d30c4,/m/05d30bx	
Panait	/m/06w81nz				
Oddbjørn	/m/07s4gvf				
Sulola	/m/07tgyd0				
Camilla	/m/05d31tb	Female	Latin Language,Arabic Language	/m/05d3244,/m/05d323m,/m/05d31v6,/m/05d31t6,/m/05d31lt,/m/05d4_41,/m/05d31tq,/m/05d31mm,/m/05d31t2,/m/05d32g4	
Burl	/m/05d3151	Male	Middle English	/m/05d3147,/m/05d314j,/m/05d314t	
Rupert	/m/05d2wm7	Male	Old English language	/m/05d2ycn,/m/05d2y7s,/m/05d2ych,/m/05d2wvt,/m/05d2xlg,/m/05d2ydq,/m/05d2yh7,/m/05d2x0k,/m/05d2xyy,/m/05d2xnl,/m/05d2y6g,/m/05d2wds,/m/05d2wbf,/m/05d2wzs,/m/05d2wsb,/m/05d2xmy,/m/05d2yg7,/m/05d2xrz,/m/05d2xj4,/m/05d2yd5,/m/05d2ykf,/m/05d2yfd,/m/05d2xfx	
Aggy	/m/05d1_hg	Female	Latin Language,Greek Language	/m/05d215n,/m/05d21bs,/m/05d21g2,/m/05d21b3,/m/05d21f1,/m/05d201y,/m/05d216_,/m/05d21cp,/m/05d20ms,/m/05d20cx,/m/05d22zx,/m/05d2143,/m/05d20pr,/m/05d213x,/m/05d21c3,/m/05d1_hc,/m/05d20df	
Bilal	/m/05d2vvd	Male	Arabic Language		
Beval	/m/05d2vf2	Male	English Language		
Ackley	/m/05d1wz2	Male	Old English language	/m/05d1wyp	
Beagan	/m/05d2s4s	Male	Gaelic	/m/05d2s4x	
Alexandre	/m/05d23cf	Male	Greek Language	/m/05d25c3,/m/05d25yw,/m/05d25m8,/m/05d26hw,/m/05d24wp,/m/05d25z5,/m/05d23t5,/m/05d23cb,/m/05d25_z,/m/05d25yq,/m/05d25zb,/m/05d26kn,/m/05d24xx,/m/05d25zh,/m/05d25r4,/m/05d23vq,/m/05d24hc,/m/05d245t,/m/05d2542,/m/05d248v,/m/05d24fb,/m/05d24pl,/m/05d25z0,/m/05d25vj,/m/05d24lj,/m/05d2530,/m/05d24y1	
Bartolomeo	/m/05d2qlw	Male	Hebrew Language	/m/05d2sng,/m/05d2rjf,/m/05d2sqm,/m/05d2s1m,/m/05d2rtp,/m/05d2qls,/m/05d2s1s,/m/05d2sry,/m/05d2s1g,/m/05d2sxz,/m/05d2qrx,/m/05d2s19,/m/05d2qj5,/m/05d2spg	
Balwin	/m/05d2pj2	Male	German Language	/m/05d2pjl,/m/05d2pk3,/m/05d2phz,/m/05d2pj6	
Sander	/m/05d23y9	Male	Greek Language,Middle English	/m/05d24xg,/m/05d25b5,/m/05d23wz,/m/05d2419,/m/05d23xq,/m/05d25bg,/m/05d8kd6,/m/05d23xg,/m/05d240w,/m/05d2414,/m/05d23_z,/m/05d23cb,/m/05d8mb4,/m/05d23wg,/m/05d23x6,/m/05d23cm,/m/05d23y0,/m/05d23wq,/m/05d241g,/m/05d23xl,/m/05d23cx,/m/05d259x,/m/05d23_p,/m/05d24x5,/m/05d25br,/m/05d2407,/m/05d8m9h,/m/05d240l,/m/05d8kdc,/m/05d23w5,/m/05d24w_	
Afrodite	/m/05d2gtl	Female	Greek Language	/m/05d2gtq,/m/05d2gtg	
Amity	/m/05d29py	Female	Latin Language	/m/05d2928,/m/05d29pp,/m/05d291v,/m/05d291y,/m/05d29qr,/m/05d29pt,/m/05d2b6g,/m/05d2921,/m/05d2924	
Tasia	/m/05d29x7	Female,Male	Greek Language,Latin Language	/m/05d2b7r,/m/05d8vq3,/m/05d2bh1,/m/05d8vr1,/m/05d29x4,/m/05d2bgf,/m/05d2b7x,/m/05d2b3y,/m/05d2bgx,/m/05d2bgr,/m/05d2bgl,/m/05d2b2j,/m/05d2b97,/m/05d8vq8,/m/05d2b0s	
Guthrum	/m/063cq5			/m/07v4mrc,/m/07v4mrq	
Samir	/m/0602m0				
Zenon	/m/05d9vm2	Male	Spanish Language		
Yrsa	/m/05d9tv7	Female			
Ylwa	/m/05d9sgt	Female		/m/05d9sgk	
Verina	/m/05d9gq6	Female	Slavic language,Latin Language	/m/05d9gyw,/m/05d9gy9,/m/05d9gxr,/m/05d9gz4,/m/05d9gyl,/m/05d9gy0,/m/05d9gpy	
Veronica	/m/05d9ftg	Female	Latin Language	/m/05d9fr4,/m/05d9fsz,/m/05d9ftb,/m/05d9frf,/m/05d9ft6,/m/05d9fr0	
Truman	/m/05d9cc7	Male	Old English language	/m/05d9bgh,/m/05d9cb_,/m/05d9cbw	
Tessica	/m/05d95xp	Female	Greek Language	/m/05d977c,/m/05d963h,/m/05d976x,/m/05d960r,/m/05d956_,/m/05d95xl,/m/05d95t5,/m/05d96l6,/m/05d95nm,/m/05d95vv,/m/05d963b,/m/05d96jk,/m/05d9776,/m/05d963n,/m/05d95_n,/m/05d9771	
Tarján	/m/05d935k	Male	Hungarian		
Tano	/m/05d92tt	Male			
Tacita	/m/05d91sk	Female	Latin Language		
Susie	/m/05d8zv8	Female	Hebrew Language	/m/05d8_15,/m/05d8_r9,/m/05d8_p8,/m/05d8_rg,/m/05d8_r4,/m/05d8_px,/m/05d8_p3,/m/05d8_hg,/m/05d8_pr,/m/05d8_qp,/m/05d8_qv,/m/05d8_q6,/m/05d8_qj,/m/05d8zv5,/m/05d8_qc,/m/05d8_q1,/m/05d8_pf,/m/05d8_rs,/m/05d8_ry,/m/05d8_q_,/m/05d8_pl,/m/05d8_rm,/m/05d8_7_	
Stroud	/m/05d8z4d	Male	Old English language	/m/05d8_3g,/m/05d8_3q	
Stuart	/m/05d8y8v	Male		/m/05d8y8l,/m/05d8y8y,/m/05d8y8g,/m/05d8y8q	
Stanislaw	/m/05d8w6d	Male	Polish Language,Old English language	/m/05d8xnv,/m/05d8w68,/m/05d8xvr,/m/05d8xwf,/m/05d8xtt,/m/05d8xm4,/m/05d8ydd,/m/05d8xv6,/m/05d8y5z,/m/05d8yfr	
Spalding	/m/05d8w3f	Male	English Language	/m/05d8w3k	
Simon	/m/05d8t2h	Male	Hebrew Language	/m/05d8v0w,/m/05d8t25,/m/05d8t29,/m/05d8t2d,/m/05d8t2y	
Sylvie	/m/05d8swm	Female	Latin Language	/m/05d8t46,/m/05d8t3z,/m/05d8t4l,/m/05d8svw,/m/05d8tzq,/m/05d8swj,/m/05d8sn9,/m/05d8svb,/m/05d8smh	
Seaton	/m/05d8p3_	Male	Old French,Old English language	/m/05d8p3h,/m/05d8p37,/m/05d8p3r	
Kristy	/m/060y1k	Female	Greek Language	/m/05d3d48,/m/05d3d4f,/m/05d3c_c,/m/05d3cdn,/m/05d3dpf,/m/05d3d3b,/m/05d3d3t,/m/05d3d4r,/m/05d3d3h,/m/05d3cdh,/m/05d3d3z,/m/05d3d35,/m/05d3d43,/m/05d3d6m,/m/05d3d3n,/m/05d3d30,/m/05d3d2w,/m/05d3d4l	
Saundarya	/m/05d8mt5	Female	Hindi Language		
Rubee	/m/05d8h4l	Female	Old French	/m/05d8h4_,/m/05d8h4h,/m/05d8h4c,/m/05d8h48	
Ruddy	/m/05d8h30	Male	Old English language	/m/05d8jb7,/m/05d8jbf	
Ryder	/m/05d88y5	Male	Old English language	/m/05d88y9	
Robbin	/m/05d87dv	Female	Old English language	/m/05d898q,/m/05d88br,/m/05d88c1,/m/05d88bl,/m/05d88n7,/m/05d87px,/m/05d88c6,/m/05d88ln,/m/05d87dr,/m/05d87_j,/m/05d898w,/m/05d88bx,/m/05d88kb	
Renee	/m/05d85ys	Male,Female	Latin Language	/m/05d85xs,/m/05d85yj,/m/05d85y4,/m/05d85yd,/m/05d85y0	
Nicos	/m/05zptr7				
Rich	/m/05d85py	Male	Old English language,Old High German	/m/05d85nq,/m/05d85nv,/m/05d85nh,/m/05d86l_,/m/05d84xs,/m/05d85pd,/m/05d86lq,/m/05d854n,/m/05d854c,/m/05d84xh,/m/05d85my,/m/05d85n6,/m/05d85p3,/m/05d8556,/m/05d85xf,/m/05d85pj,/m/05d854y,/m/05d85pt,/m/05d855m,/m/05d855h,/m/05d86lf,/m/05d8542	
Reginald	/m/05d84rn	Male	Old English language	/m/05d8574,/m/05d857g,/m/05d857m,/m/05d8521,/m/05d856v,/m/05d856_,/m/05d8592,/m/05d84t5,/m/05d84rk,/m/05d8579,/m/05d85b6,/m/05d856p,/m/05d856j,/m/05d853v	
Rene	/m/05d84lr	Male	Old English language,Latin Language	/m/05d84sj,/m/05d85j5,/m/05d8658,/m/05d85k5,/m/05d84th,/m/05d84tb,/m/05d865f,/m/05d84tn,/m/05d84t0,/m/05d84tw,/m/05d85kb,/m/05d84st,/m/05d85k0,/m/05d84ln,/m/05d84sn,/m/05d84t5,/m/05d85jw,/m/05d85y0	
Riba	/m/05d828c	Female	Hebrew Language	/m/05d82c5,/m/05d824_,/m/05d833p,/m/05d837t,/m/05d81mm,/m/05d837h,/m/05d831g,/m/05d8375,/m/05d82rb,/m/05d837b,/m/05d82mb,/m/05d8448,/m/05d82kw,/m/05d837n,/m/05d8388,/m/05d82tc,/m/05d82_m,/m/05d83b3,/m/05d8383,/m/05d8288,/m/05d82j7,/m/05d83yh,/m/05d837z	
Renard	/m/05d81s2	Male	Old High German,Old Norse	/m/05d82y9,/m/05d81xq,/m/05d81_m,/m/05d81r_,/m/05d82nh,/m/05d81z8,/m/05d82y4,/m/05d81z3,/m/05d81zf,/m/05d82pj	
Razi	/m/05d81bz	Male			
Ransley	/m/05d8072	Male	Old English language		
Pragati	/m/05d7ytp	Female	Hindi Language		
