edmund,M
eduardo,M
edward,M,F
edwin,M
edyth,F
edythe,F
effie,F
egbert,M
eileen,F
elaine,F
elba,F
elbert,M
eldora,F
eleanor,F
elena,F
eleni,F
elenor,F
eli,M,F
elias,M
elijah,M
elinor,F
elisa,F
elisabeth,F
elise,F
elisha,M,F
eliza,F
elizabeth,F
ella,F
elle,F
ellen,F
ellie,F
ellis,M,F
elly,F
elmira,F
elnora,F
eloise,F
elouise,F
elsa,F
elsie,F
elspeth,F
elvie,F
elvira,F
elwood,M
elysia,F
em,M,F
emanuel,M
emeline,F
emily,F
emma,F
emmanuel,M
emmeline,F
emmie,F
emmy,M,F
enrique,M
eric,M,F
erica,F
erick,M
erin,M,F
erma,F
erna,F
ernest,M
ernestine,F
ernie,M,F
erwin,M
essa,F
essie,F
essy,F
estella,F
estelle,F
esther,F
etta,F
etty,F
eudora,F
eugene,M,F
eugenia,M,F
eunice,F
euphemia,F
eustacia,F
ev,M,F
eva,F
evan,M,F
evangeline,F
eve,F
evelina,F
eveline,F
evelyn,M,F
evie,F
ezekiel,M
faith,F
fan,F
fannie,F
fanny,F
fay,F
ferdie,M
ferdinand,M
fidelia,F
field,M
fifi,F
filip,M
fina,F
flo,F
flora,F
florence,F
florrie,F
flossie,F
flossy,F
floy,F
floyd,M
ford,M
fran,M,F
france,F
frances,M,F
francesca,F
francesco,M
francie,F
francine,F
francis,M,F
frank,M,F
frankie,M,F
franklin,M
franky,M,F
frannie,M,F
franny,M,F
franz,M
fred,M,F
freda,F
freddie,M,F
freddy,M,F
frederic,M
frederica,F
frederick,M
fredericka,F
fredric,M
frieda,F
fritz,M
gabbie,M,F
gabby,M,F
gabe,M
gabriel,M,F
gabriella,F
gabrielle,F
gail,M,F
gal,M
garfield,M
garry,M
gary,M,F
gay,M,F
gene,M,F
genevieve,F
genie,F
genny,F
geoff,M
geoffrey,M
geordie,M
george,M,F
georgia,F
georgiana,F
georgie,M,F
georgina,F
georgine,F
gerald,M,F
geraldine,F
gerhardt,M
gerri,M,F
gerrie,M,F
gerry,M,F
gert,F
gertie,F
gertrude,F
gib,M
gil,M
gilbert,M
gina,F
ginger,M,F
ginny,F
gloria,F
glory,F
greg,M
gregory,M,F
greta,F
gretchen,F
gretta,F
griselda,F
grissel,F
gus,M,F
guss,M
gussie,M,F
gussy,M,F
gustav,M
gustavus,M
gwen,F
gwendolyn,F
hadrian,M
hal,M
haley,M,F
hallie,F
ham,M
hamilton,M
hank,M
hannah,F
harman,M
harold,M,F
harriet,F
harriot,F
harry,M
hattie,F
hatty,F
heather,F
heidi,F
helen,F
helena,F
helene,F
heloise,F
henrietta,F
henry,M,F
herb,M
herbert,M
herbie,M
herman,M
hester,F
hesther,F
hetty,M,F
hil,F
hilary,M,F
hilly,M
hiram,M
hitty,M
hodge,M
honey,F
honor,F
honora,F
horace,M
horatio,M
howard,M
howie,M
hubert,M
hugh,M
hughie,M
hugo,M
hy,M
ian,M
ibby,F
ida,F
iggy,M
ignatius,M
ike,M
immanuel,M
ina,F
inez,F
irene,F
irvin,M
irving,M
irwin,M
isa,M,F
isaac,M
isabel,F
isabella,F
isabelle,F
isadora,F
isadore,M
isidore,M
isobel,F
israel,M
issa,F
issie,F
issy,F
iva,F
ivan,M
ivy,F
izaak,M
izzy,M,F
jack,M,F
jackie,M,F
jackson,M
jacob,M
jacqueline,F
jacques,M
jake,M
james,M,F
jamie,M,F
jan,M,F
jane,F
janet,F
janice,F
janie,F
jase,M
jason,M,F
jasper,M
jay,M,F
jayme,M,F
jean,M,F
jeanette,F
jeanie,F
jeanne,F
jeannie,F
jeb,M
jebediah,M
jed,M
jedediah,M
jedidiah,M
jeff,M
jefferson,M
jeffery,M
jeffrey,M,F
jehu,M
jem,F
jemima,F
jemma,F
jemmy,F
jen,F
jenna,F
jennie,F
jennifer,F
jenny,F
jereme,M
jeremiah,M
jeremy,M,F
jerome,M
jerry,M,F
jess,M,F
jesse,M,F
jessica,F
jessie,M,F
jez,F
jill,F
jim,M
jimmie,M,F
jimmy,M,F
jo,M,F
joan,M,F
joann,F
joanna,F
joanne,F
jock,M
jody,M,F
joe,M,F
joel,M,F
joey,M,F
johann,M
johanna,F
johannah,F
johannes,M
john,M,F
johnnie,M,F
johnny,M,F
jon,M,F
jonathan,M
jordan,M,F
jorge,M
jose,M,F
joseph,M,F
josephine,F
josey,F
josh,M
joshua,M,F
josiah,M
josie,F
josy,F
joy,F
joyce,F
juanita,F
jud,M
juda,M,F
judah,M
judd,M
jude,M,F
judi,F
judie,F
judith,F
judson,M
judy,F
jule,M,F
jules,M,F
julia,F
julian,M,F
julias,M
julie,M,F
juliet,F
julius,M
karen,F
kassandra,F
kassie,F
kat,F
katarina,F
kate,F
katelin,F
katelyn,F
kath,F
katharine,F
katherine,F
kathie,F
kathleen,F
kathryn,F
kathy,F
katie,F
katrina,F
katrine,F
katy,F
kay,M,F
kaye,F
kayla,F
ken,M,F
kendra,M,F
kenji,M
kenneth,M,F
kenny,M,F
kenzy,F
kester,M
keziah,F
kezzy,F
kim,M,F
kimberley,M,F
kimberly,M,F
king,M
kingsley,M
kingston,M
kit,M,F
kittie,F
kitty,F
kizza,F
kizzie,F
kizzy,F
kori,F
kris,M,F
krissy,F
kristel,F
kristen,F
kristin,F
kristine,F
kristopher,M
kristy,F
lamont,M
lanna,F
lanny,M,F
larry,M,F
lars,M
latisha,F
laura,F
lauren,M,F
laurence,M,F
laurie,M,F
laurinda,F
lauryn,F
laveda,F
laverne,M,F
lavina,F
lavinia,M,F
lavonia,F
lavonne,F
lawrence,M,F
lea,M,F
leanne,M,F
lee,M,F
lem,M
lemuel,M
len,M
lena,F
lenny,M
lenora,F
leo,M,F
leon,M,F
leonard,M
leonardo,M
leonidas,M
leonora,F
leonore,F
leroy,M
les,M,F
leslie,M,F
lessie,F
lester,M,F
letitia,F
lettie,F
letty,F
levi,M
lew,M
lewie,M
lewis,M,F
lex,F
lexa,F
lexi,F
lexie,F
liam,M
lib,F
libby,F
lidia,F
lil,F
lila,F
lillah,F
lillian,F
lilly,F
lily,F
lina,F
lincoln,M
linda,F
lindy,M,F
link,M
lionel,M
lisa,F
lisbeth,F
lissa,F
lissie,F
liv,F
livia,F
livvie,F
liz,F
liza,F
lizabeth,F
lizbeth,F
lizzie,F
lizzy,F
lloyd,M
lois,F
lola,F
lolly,F
lon,M
lonnie,M,F
lonny,M
loren,M,F
lorenzo,M
loretta,F
lorie,F
lorne,M,F
lorraine,F
lorrie,M,F
lorry,M,F
lotta,F
lottie,F
lou,M,F
louie,M,F
louis,M,F
louisa,F
louise,F
lu,M,F
lucas,M
lucia,F
lucias,M
lucille,F
lucinda,F
lucretia,F
lucy,F
ludovic,M
luella,F
luke,M
lula,F
lulu,F
lunetta,F
luther,M
lydia,F
lyn,M,F
lyndon,M
lynn,M,F
lyssa,F
mabel,F
mac,M
mack,M
mackenzie,M,F
maddie,M,F
maddy,M,F
madeline,F
madelyn,F
madge,F
madie,F
madison,M,F
mae,F
mag,F
magda,F
magdalena,F
magdalene,F
magdelina,F
maggie,F
maggy,F
mahala,F
maida,F
maisie,F
mal,M,F
malachi,M
malcolm,M
malinda,F
mamie,F
manda,F
mandy,F
manny,M,F
manuel,M
marcellus,M
marcie,F
marcus,M
marg,F
margaret,F
margaretta,F
margarita,F
marge,F
margery,F
margie,F
margo,F
marguerite,F
margy,F
mari,F
maria,M,F
mariah,F
marian,M,F
marianna,F
marie,F
marietta,F
marilyn,F
marion,M,F
marissa,F
marjorie,F
marjory,F
mark,M,F
marnie,F
marsha,F
martha,F
martin,M,F
martina,F
martine,F
marty,M,F
marv,M
marvin,M
mary,M,F
mathew,M
mathilda,F
matilda,F
matt,M
matthew,M,F
matthias,M
mattie,M,F
matty,M,F
maud,F
maudlin,F
maureen,F
maurice,M,F
maury,M
max,M,F
maxine,F
may,F
medora,F
meg,F
megan,F
meggy,F
mehitabel,M
mel,M,F
melanie,F
melia,F
melinda,F
melissa,F
mellie,F
melly,F
melvin,M,F
melvina,F
mercedes,F
merci,F
mercy,F
mert,M,F
merv,M
mervin,M
mervyn,M
meta,F
mia,F
mica,F
micah,M,F
micha,M,F
michael,M,F
michele,M,F
michelle,F
mick,M
mickey,M,F
micky,M,F
midge,M,F
mike,M,F
mikey,M
miko,M
mildred,F
millicent,F
millie,F
milly,F
mima,F
mimi,F
mina,F
mindy,F
minerva,F
minnie,F
mira,F
miranda,F
miriam,F
missy,F
mitch,M
mitchell,M,F
mitzi,F
moll,F
mollie,F
molly,F
mona,F
monet,F
monica,F
monnie,F
montague,M,F
montgomery,M
monty,M
morey,M
morris,M
