name	id	variations
	/m/05d6qs_	Melani,Melany
	/m/05d6qgg	Malina,Malena
	/m/05d6q10	Malena,Minda
	/m/05d6pv5	Melinda,Minda
	/m/05d6ps7	Mela,Milena
	/m/05d6p7_	Mays,Maya
	/m/05d6p1c	Maxim,Maximiliano
	/m/05d6myq	Morey,Moss
	/m/05d6mvs	Morets,Morse
	/m/05d6m_d	Maurice,Moss
	/m/05d6lq0	Moria,Maureen
	/m/05d6l97	Matthews,Mattison
	/m/05d6l4w	Maddie,Tilly
	/m/05d6kqc	Matai,Mattheus
	/m/05d6k9j	Matilda,Matelda
	/m/05d6hdm	Muire,Minette
	/m/05d6hc1	Marya,Maura
	/m/05d6h8l	Muriel,Maure
	/m/05d6h5n	Mattias,Máté
	/m/05d6h14	Marella,Mairi
	/m/05d6gcd	Marian,Mally
	/m/05d6fsn	Mash,Mairi
	/m/05d6fmr	Mash,Maria
	/m/05d6fgv	Moira,Mairi
	/m/05d6dx9	Merry,Minnie
	/m/05d6d3g	Muire,Molly
	/m/05d6cxl	Mariette,Molly
	/m/05d6cw0	Marika,Molly
	/m/05d6cn6	Muire,Mair
	/m/05d6clt	Masha,Mariette
	/m/05d6cfx	May,Mair
	/m/05d6c7y	Miriam,Maure
	/m/05d6bqg	Mamie,Maren
	/m/05d6bd3	Mariath,Mary
	/m/05d6b_s	Moya,Molly
	/m/05d6b3r	Mariya,Mairin
	/m/05d6b0t	May,Mare
	/m/05d6_sg	Mohamed,Amad
	/m/05d6_dq	Musette,Musa
	/m/05d6_5r	Mahmoud,Mohammed
	/m/05d6_18	Mohamad,Muhammed
	/m/05d6980	Meriel,Madonna
	/m/05d67v0	Merry,Maire
	/m/05d67s2	Moire,Maire
	/m/05d67m6	Martha,Marth
	/m/05d67j8	Maire,Maren
	/m/05d679w	Murvyn,Mervyn
	/m/05d6616	Marella,Mattie
	/m/05d648y	Mario,Marius
	/m/05d6392	Marilyn,Marly
	/m/05d626g	Marguerite,Margery
	/m/05d61rr	Manya,Mariana
	/m/05d61q6	Marianna,Marion
	/m/05d60tg	Gretchen,Margarita
	/m/05d60nk	Margiad,Garet
	/m/05d60km	Peggy,Margie
	/m/05d60j1	Maisie,Peggy
	/m/05d6028	Gretchen,Maggy
	/m/05d5znb	Marguerite,Margaret
	/m/05d5z_l	Maisie,Margalo
	/m/05d5yw4	Margret,Meggie
	/m/05d5ylx	Marga,Peggy
	/m/05d5xj3	Margarethe,Margaretha
	/m/05d5x0x	Marsie,Marci
	/m/05d5wpb	Margareta,Marge
	/m/05d5wjf	Margory,Margaux
	/m/05d5syr	Maisy,Maisie
	/m/05d5sx6	Mahalia,Mahala
	/m/05d5rk5	Matty,Madalena
	/m/05d5rh7	Magdalena,Mady
	/m/05d5r7v	Mady,Madalena
	/m/05d1wj8	Abramio,Abramo
	/m/05d5qbn	Madlin,Marleen
	/m/05d1wtn	Achille,Aquila
	/m/05d5q51	Madelyn,Maddy
	/m/05d5prx	Lene,Magdalen
	/m/05d5npf	Maibelle,Mabella
	/m/05d5my8	Lucy,Lucille
	/m/05d1yd1	Adalgisal,Adelgiese
	/m/05d5lyk	Loise,Luane
	/m/05d5lvm	Eloisa,Lois
	/m/05d1z99	Adalia,Della
	/m/05d1zrn	Africana,Afraate
	/m/05d5lgw	Lulie,Ouise
	/m/05d5krf	Lewes,Lu
	/m/05d22cv	Allie,Ally
	/m/05d244l	Sandro,Alysander
	/m/05d5k35	Lou,Louise
	/m/05d252w	Alec,Aleksander
	/m/05d258s	Alfric,Allie
	/m/05d5jvx	Louis,Lodovico
	/m/05d5gdg	Leetice,Tish
	/m/05d25c8	Alecks,Alex
	/m/05d5g8f	Leta,Laetitia
	/m/05d5fzm	Lilly,Lilianne
	/m/05d5fs5	Lénárd,Len
	/m/05d5fm9	Leana,Liane
	/m/05d26ky	Alisa,Alisha
	/m/05d5d4j	Lela,Leila
	/m/05d5cr7	Lazarus,Lazre
	/m/05d26wq	Allison,Alyce
	/m/05d26y3	Alyshia,Alyce
	/m/05d2710	Alyshia,Alyse
	/m/05d5c6_	Loren
	/m/05d5brj	Lawrence,Laurence
	/m/05d5bn0	Lawrence,Lorenzo
	/m/05d289q	Amberley,Amberleigh
	/m/05d29n9	Amalia,Amelia
	/m/05d5bln	Lorina,Laura
	/m/05d5bk2	Lauren,Lorina
	/m/05d2_4c	Birgitta,Brigada
	/m/05d5b95	Lauren,Lauryn
	/m/05d5_tj	Gretel,Gretle
	/m/05d5_nn	Margie,Meg
	/m/05d5_3w	Rita,Grete
	/m/05d2b2c	Anstasie,Stasa
	/m/05d2c20	Andros,Andrew
	/m/05d2cnc	Andrys,Andros
	/m/05d5_0y	Margot,Gretle
	/m/05d59fp	Lora,Laurel
	/m/05d59cr	Lauranne,Lorry
	/m/05d5909	Loren,Lonnie
	/m/05d55gg	Kayle,Kayleigh
	/m/05d54nw	Kirsty,Kier
	/m/05d53mn	Kieron,Kieran
	/m/05d53l2	Kimmi,Kimby
	/m/05d52zz	Keely,Kealy
	/m/05d2dxf	Anna,Anya
	/m/05d527j	Kendalia,Kendaline
